-0.642-0.554-0.687-0.263-0.306-0.260-0.773-0.729-0.726-0.384-0.340-0.337-0.652-0.695-0.649-0.253-0.166-0.298-0.779-0.871-0.780-0.390-0.483-0.391-0.643-0.556-0.688-0.263-0.306-0.260-0.774-0.729-0.727-0.386-0.341-0.339-0.655-0.697-0.655-0.255-0.168-0.300-0.778-0.870-0.779-0.393-0.485-0.3940.1260.0830.1280.5240.6120.479-0.002-0.094-0.0030.3870.2940.3860.1360.2220.0900.5140.4710.5170.0040.0490.0510.3920.4370.4390.1240.0810.1270.5230.6100.478-0.003-0.095-0.0030.3850.2930.3840.1360.2230.0910.5140.4710.5170.0030.0470.0500.3930.4380.441-0.779-0.780-0.871-0.390-0.391-0.483-0.651-0.649-0.694-0.253-0.298-0.166-0.641-0.554-0.687-0.263-0.306-0.260-0.773-0.729-0.726-0.384-0.340-0.337-0.773-0.728-0.726-0.384-0.340-0.337-0.641-0.687-0.554-0.263-0.260-0.306-0.651-0.695-0.649-0.253-0.166-0.298-0.779-0.871-0.780-0.390-0.483-0.391-0.779-0.780-0.872-0.391-0.392-0.483-0.652-0.649-0.695-0.253-0.298-0.166-0.641-0.554-0.687-0.263-0.306-0.261-0.773-0.728-0.726-0.384-0.340-0.337-0.773-0.728-0.726-0.386-0.342-0.338-0.641-0.687-0.555-0.265-0.262-0.308-0.652-0.695-0.649-0.253-0.166-0.298-0.779-0.871-0.780-0.391-0.483-0.3920.0040.0490.0520.3930.4370.4400.1360.0910.2230.5140.5170.4710.1260.0830.1280.5240.6120.479-0.002-0.094-0.0030.3870.2940.386-0.002-0.003-0.0940.3870.3860.2940.1250.1280.0820.5240.4790.6110.1360.2230.0900.5140.4710.5170.0040.0490.0520.3930.4370.4400.0040.0480.0510.3910.4360.4390.1340.0890.2210.5130.5160.4700.1250.0820.1270.5240.6110.479-0.002-0.094-0.0030.3860.2940.385-0.004-0.004-0.0960.3870.3860.2940.1260.1280.0820.5240.4790.6110.1360.2230.0900.5140.4710.5170.0030.0480.0510.3930.4370.440-0.779-0.780-0.871-0.390-0.391-0.483-0.652-0.649-0.695-0.253-0.298-0.166-0.773-0.729-0.726-0.384-0.340-0.337-0.641-0.686-0.554-0.263-0.260-0.306-0.779-0.780-0.871-0.390-0.391-0.483-0.651-0.649-0.695-0.253-0.298-0.166-0.773-0.728-0.726-0.385-0.340-0.337-0.642-0.687-0.555-0.263-0.261-0.3060.0040.0490.0510.3930.4370.4400.1360.0910.2230.5140.5170.471-0.002-0.003-0.0940.3870.3860.2940.1260.1280.0830.5240.4790.6120.0040.0490.0510.3920.4370.4400.1360.0900.2230.5140.5170.471-0.002-0.003-0.0940.3870.3860.2940.1260.1280.0820.5240.4790.6116

         -1.571	0.294     -0.301

         -1.571	0.386     -0.180

         -1.121	0.136     -0.368

         -1.117	0.222     -0.329

         -1.044	0.090     -0.336

         -1.347	0.514     -0.362

         -1.429	0.471     -0.336

         -1.350	0.517     -0.457

         -1.342	0.004     -0.269

         -1.420	0.049     -0.302

         -1.269	0.051     -0.309

         -1.118	0.392     -0.269

         -1.196	0.437     -0.302

         -1.045	0.439     -0.309

         -0.673	0.124     -0.361

         -0.755	0.081     -0.336

         -0.675	0.127     -0.457

         -0.897	0.523     -0.369

         -0.892	0.610     -0.329

         -0.819	0.478     -0.335

         -0.902	-0.003     -0.276

         -0.897	-0.095     -0.301

         -0.898	-0.003     -0.181

         -0.677	0.385     -0.276

         -0.673	0.293     -0.301

         -0.674	0.384     -0.180

         -0.224	0.136     -0.368

         -0.220	0.223     -0.328

         -0.146	0.091     -0.335

         -0.450	0.514     -0.362

         -0.532	0.471     -0.337

         -0.453	0.517     -0.457

         -0.443	0.003     -0.269

         -0.521	0.047     -0.302

         -0.370	0.050     -0.309

         -0.221	0.393     -0.269

         -0.299	0.438     -0.302

         -0.148	0.441     -0.309

         -1.798	-0.779     0.004

         -1.795	-0.780     -0.091

         -1.795	-0.871     0.029

         -1.574	-0.390     0.004

         -1.570	-0.391     -0.092

         -1.570	-0.483     0.029

         -1.571	-0.651     0.090

         -1.573	-0.649     0.185

         -1.652	-0.694     0.065

         -1.794	-0.253     0.096

         -1.716	-0.298     0.063

         -1.790	-0.166     0.056

         -1.569	-0.641     0.363

         -1.565	-0.554     0.403

         -1.492	-0.687     0.396

         -1.795	-0.263     0.369

         -1.877	-0.306     0.394

         -1.798	-0.260     0.274

         -1.790	-0.773     0.462

         -1.868	-0.729     0.429

         -1.717	-0.726     0.422

         -1.566	-0.384     0.462

         -1.644	-0.340     0.429

         -1.492	-0.337     0.422

         -1.341	-0.773     -0.002

         -1.419	-0.728     0.031

         -1.268	-0.726     0.037

         -1.116	-0.384     -0.003

         -1.194	-0.340     0.030

         -1.043	-0.337     0.037

         -1.120	-0.641     0.096

         -1.043	-0.687     0.063

         -1.116	-0.554     0.056

         -1.346	-0.263     0.089

         -1.348	-0.260     0.185

         -1.427	-0.306     0.064

         -1.121	-0.651     0.370

         -1.203	-0.695     0.395

         -1.124	-0.649     0.274

         -1.345	-0.253     0.363

         -1.341	-0.166     0.402

         -1.267	-0.298     0.396

         -1.349	-0.779     0.455

         -1.346	-0.871     0.430

         -1.346	-0.780     0.551

         -1.125	-0.390     0.455

         -1.121	-0.483     0.430

         -1.121	-0.391     0.550

         -0.901	-0.779     0.004

         -0.897	-0.780     -0.091

         -0.897	-0.872     0.029

         -0.676	-0.391     0.003

         -0.672	-0.392     -0.093

         -0.672	-0.483     0.028

         -0.673	-0.652     0.090

         -0.675	-0.649     0.185

         -0.755	-0.695     0.065

         -0.895	-0.253     0.096

         -0.818	-0.298     0.063

         -0.891	-0.166     0.056

         -0.671	-0.641     0.363

         -0.667	-0.554     0.402

         -0.594	-0.687     0.396

         -0.897	-0.263     0.369

         -0.978	-0.306     0.394

         -0.899	-0.261     0.274

         -0.892	-0.773     0.462

         -0.970	-0.728     0.429

         -0.819	-0.726     0.422

         -0.667	-0.384     0.462

         -0.745	-0.340     0.428

         -0.594	-0.337     0.421

         -0.443	-0.773     -0.002

         -0.522	-0.728     0.030

         -0.371	-0.726     0.038

         -0.217	-0.386     -0.005

         -0.296	-0.342     0.028

         -0.145	-0.338     0.035

         -0.223	-0.641     0.098

         -0.145	-0.687     0.067

         -0.218	-0.555     0.057

         -0.447	-0.265     0.088

         -0.449	-0.262     0.184

         -0.529	-0.308     0.063

         -0.224	-0.652     0.371

         -0.305	-0.695     0.396

         -0.227	-0.649     0.275

         -0.446	-0.253     0.361

         -0.443	-0.166     0.401

         -0.369	-0.298     0.395

         -0.452	-0.779     0.455

         -0.448	-0.871     0.430

         -0.448	-0.780     0.551

         -0.227	-0.391     0.456

         -0.224	-0.483     0.431

         -0.224	-0.392     0.551

         -1.791	0.004     -0.003

         -1.869	0.049     0.030

         -1.718	0.052     0.037

         -1.567	0.393     -0.003

         -1.645	0.437     0.030

         -1.494	0.440     0.037

         -1.570	0.136     0.096

         -1.493	0.091     0.063

         -1.566	0.223     0.056

         -1.796	0.514     0.089

         -1.799	0.517     0.185

         -1.878	0.471     0.065

         -1.571	0.126     0.369

         -1.653	0.083     0.395
