130.6544,182.2417,247.1938,264.8361,290.7263,311.2198,280.8991,296.5375
116.1359,160.1019,220.0619,218.0809,268.9321,272.5135,305.3554,282.1738
104.4705,141.8941,191.3377,182.2847,229.2018,237.3317,284.7433,292.7123
93.6913,126.2557,166.4186,151.2897,198.4086,202.7992,277.7702,291.4126
84.8901,113.2268,147.6703,132.979,164.5734,171.4975,231.6424,274.3327
78.4016,102.7533,131.6434,114.8671,144.2677,149.005,196.0859,214.2917
72.3766,92.6444,118.3776,101.987,126.3796,130.1848,170.1419,166.8901
66.8152,85.3826,107.2617,90.3806,113.1259,116.0649,147.3926,133.8501
61.6333,79.2837,98.4356,83.3756,101.3477,105.5674,133.0559,111.4166
57.5694,72.2667,90.0113,75.8741,91.8651,95.0899,119.4146,94.5704
53.5505,68.5125,83.5854,70.3137,83.7033,87.7023,108.1239,81.0669
50.4855,62.7792,77.2667,65.4436,76.8442,80.033,99.5375,70.974
47.8701,58.9441,71.3856,60.0789,71.3866,74.5554,90.1029,62.4565
44.0989,55.2428,67,55.8691,65.988,69.1349,84.2677,56.2527
41.8151,51.8701,62.6753,52.013,61.6553,64.6474,78.993,49.5884
39.5594,48.2937,58.9311,48.7852,57.2058,60.3427,73.1908,44.2917
