Shoot biomass(gm) in each treatment,,,,,,,,,,,,,,,,
total_sum,treatment_5,treatment_10,treatment_15,treatment_20,treatment_25,treatment_30,treatment_35,,,treatment_5,treatment_10,treatment_15,treatment_20,treatment_25,treatment_30,treatment_35
,,6.46,12.85,4.13,7.83,3.79,4.88,,,,,,,,,
,,5.04,15.77,8.33,4.65,4.05,2.01,,,,,,,,,
,,18.38,2.52,9.19,7.71,5.46,5.47,,,,,,,,,
,,8.64,10.92,4.49,1.7,7.17,6,,,,,,,,,
,,12.63,6.05,15.51,9.37,3.97,5.84,,,,,,,,,
,,4.02,4.73,7.52,10.45,2.97,4.88,,,,,,,,,
,,12.02,6.79,2,8.95,7.35,5.61,,,,,,,,,
,,12.66,2.4,8.38,7.38,1.07,7.2,,,,,,,,,
,,14.36,12.27,7,2.16,6.09,6.81,,,,,,,,,
,,10.51,14.42,5.06,4.16,7,4.58,,,,,,,,,
,,18.34,8.14,9.29,7.2,5.34,6.03,,,,,,,,,
,,10.21,13.97,9.44,6.66,5.99,5.75,,,,,,,,,
,,9.16,8.45,11.38,12.74,8.31,4.61,,,,,,,,,
,,18.09,8.96,7.62,8.89,7.76,7.54,,,,,,,,,
,,5.95,2.68,13.21,8.09,5.31,5.87,,,,,,,,,
,,9.72,15.19,10.87,11.21,10.55,3.85,,,,,,,,,
,,5.74,15.95,2.72,2.09,6.54,6.6,,,,,,,,,
total_sum,,,13.87,9.36,6.61,2.49,6.72,,,,,,,,,
,,,10.48,5.3,4.69,6.37,1.8,,,,,,,,,
,,,10.56,9.12,0.82,7.02,7.51,,,,,,,,,
,,,5.25,9.05,2.04,7.94,1.01,,,,,,,,,
,,,7.06,5.95,7.01,10.92,0.67,,,,,,,,,
,,,10.17,8.69,2.46,9.19,4.67,,,,,,,,,
,,,12.79,9.26,9.18,5.69,2.9,,,,,,,,,
,,,11.63,8.56,7.81,1.87,4.92,,,,,,,,,
,,,9.66,5.52,4.81,5.87,5.3,,,,,,,,,
,,,10.17,1.58,6.85,9.04,6.85,,,,,,,,,
,,,9.44,6.89,2.79,8.33,6.5,,,,,,,,,
,,,10.2,3.75,7.04,6.87,4.31,,,,,,,,,
,,,13.69,3.67,6.18,5.26,4.44,,,,,,,,,
,,,5.68,7.78,7.02,4.99,3.06,,,,,,,,,
,,,7.16,7.3,3.48,7.66,6.25,,,,,,,,,
,,,7.75,9.34,9.37,3.03,6.23,,,,,,,,,
,,,5.11,5.52,5.17,8.03,5.33,,,,,,,,,
total_sum,,,,9.46,5.37,8.15,5.42,,,,,,,,,
,,,,9.48,2.26,5.67,4.15,,,,,,,,,
,,,,5.13,7.68,0.8,3.6,,,,,,,,,
,,,,10.85,4.42,8.27,0.69,,,,,,,,,
,,,,9.18,11.07,10.48,6.54,,,,,,,,,
,,,,8.75,9.07,4.42,7.73,,,,,,,,,
,,,,5.68,5.15,2.55,4.57,,,,,,,,,
,,,,10.09,4.03,6.56,7.42,,,,,,,,,
